Calculated dynamic hourly prices form wholesale prices ,,,
EUR/kWh ,,,
Eurostat/Ember ,,,
country,cons_size,hour,Value
Austria,small,23,0.279243084
Belgium,large,0,0.349109843
Belgium,large,1,0.319458734
Belgium,large,2,0.305676226
Belgium,large,3,0.28599645
Belgium,large,4,0.279519677
Belgium,large,5,0.303615766
Belgium,large,6,0.35877953
Belgium,large,7,0.421833662
Belgium,large,8,0.445543824
Belgium,large,9,0.413439151
Belgium,large,10,0.365606754
Belgium,large,11,0.334540001
Belgium,large,12,0.309111318
Belgium,large,13,0.281369231
Belgium,large,14,0.276962249
Belgium,large,15,0.293203652
Belgium,large,16,0.327478904
Belgium,large,17,0.39606191
Belgium,large,18,0.461795071
Belgium,large,19,0.502974649
Belgium,large,20,0.482331493
Belgium,large,21,0.436784611
Belgium,large,22,0.41375228
Belgium,large,23,0.371507919
Belgium,medium,0,0.37024593
Belgium,medium,1,0.33879966
Belgium,medium,2,0.32418272
Belgium,medium,3,0.303311475
Belgium,medium,4,0.29644258
Belgium,medium,5,0.321997513
Belgium,medium,6,0.380501047
Belgium,medium,7,0.447372651
Belgium,medium,8,0.472518294
Belgium,medium,9,0.438469914
Belgium,medium,10,0.38774161
Belgium,medium,11,0.354793988
Belgium,medium,12,0.327825782
Belgium,medium,13,0.298404111
Belgium,medium,14,0.293730318
Belgium,medium,15,0.310955022
Belgium,medium,16,0.347305393
Belgium,medium,17,0.420040606
Belgium,medium,18,0.489753436
Belgium,medium,19,0.533426142
Belgium,medium,20,0.511533191
Belgium,medium,21,0.463228774
Belgium,medium,22,0.438802001
Belgium,medium,23,0.394000047
Belgium,small,0,0.394935066
Belgium,small,1,0.361391861
Belgium,small,2,0.345800219
Belgium,small,3,0.323537215
Belgium,small,4,0.316210281
Belgium,small,5,0.343469296
Belgium,small,6,0.405874025
Belgium,small,7,0.477204834
Belgium,small,8,0.504027265
Belgium,small,9,0.467708434
Belgium,small,10,0.413597411
Belgium,small,11,0.378452741
Belgium,small,12,0.349686212
Belgium,small,13,0.318302614
Belgium,small,14,0.313317158
Belgium,small,15,0.331690458
Belgium,small,16,0.370464783
Belgium,small,17,0.448050204
Belgium,small,18,0.522411699
Belgium,small,19,0.568996635
Belgium,small,20,0.545643795
Belgium,small,21,0.494118291
Belgium,small,22,0.468062666
Belgium,small,23,0.42027318
Bulgaria,large,0,0.104717682
Bulgaria,large,1,0.099575354
Bulgaria,large,2,0.089687299
Bulgaria,large,3,0.084277896
Bulgaria,large,4,0.080133065
Bulgaria,large,5,0.083860833
Bulgaria,large,6,0.095740448
Bulgaria,large,7,0.11574724
Bulgaria,large,8,0.13012609
Bulgaria,large,9,0.127800176
Bulgaria,large,10,0.111594147
Bulgaria,large,11,0.097625164
Bulgaria,large,12,0.08984842
Bulgaria,large,13,0.086765345
Bulgaria,large,14,0.084212659
Bulgaria,large,15,0.090483519
Bulgaria,large,16,0.105770288
Bulgaria,large,17,0.124660601
Bulgaria,large,18,0.141772683
Bulgaria,large,19,0.158083748
Bulgaria,large,20,0.171988235
Bulgaria,large,21,0.16104251
Bulgaria,large,22,0.137750803
Bulgaria,large,23,0.120513697
Bulgaria,medium,0,0.104762645
Bulgaria,medium,1,0.099618109
Bulgaria,medium,2,0.089725808
Bulgaria,medium,3,0.084314082
Bulgaria,medium,4,0.080167471
Bulgaria,medium,5,0.083896841
Bulgaria,medium,6,0.095781556
Bulgaria,medium,7,0.115796938
Bulgaria,medium,8,0.130181962
Bulgaria,medium,9,0.12785505
Bulgaria,medium,10,0.111642062
Bulgaria,medium,11,0.097667081
Bulgaria,medium,12,0.089886998
Bulgaria,medium,13,0.086802599
Bulgaria,medium,14,0.084248818
Bulgaria,medium,15,0.09052237
Bulgaria,medium,16,0.105815702
Bulgaria,medium,17,0.124714126
Bulgaria,medium,18,0.141833556
Bulgaria,medium,19,0.158151624
Bulgaria,medium,20,0.172062081
Bulgaria,medium,21,0.161111656
Bulgaria,medium,22,0.137809949
Bulgaria,medium,23,0.120565441
Bulgaria,small,0,0.105122345
Bulgaria,small,1,0.099960145
Bulgaria,small,2,0.090033879
Bulgaria,small,3,0.084603572
Bulgaria,small,4,0.080442724
Bulgaria,small,5,0.084184898
Bulgaria,small,6,0.096110419
Bulgaria,small,7,0.116194524
Bulgaria,small,8,0.130628938
Bulgaria,small,9,0.128294037
Bulgaria,small,10,0.112025383
Bulgaria,small,11,0.098002419
Bulgaria,small,12,0.090195623
Bulgaria,small,13,0.087100634
Bulgaria,small,14,0.084538084
Bulgaria,small,15,0.090833177
Bulgaria,small,16,0.106179018
Bulgaria,small,17,0.125142329
Bulgaria,small,18,0.142320538
Bulgaria,small,19,0.158694634
Bulgaria,small,20,0.172652852
Bulgaria,small,21,0.161664829
Bulgaria,small,22,0.138283116
Bulgaria,small,23,0.1209794
Croatia,large,0,0.126389959
Croatia,large,1,0.115913188
Croatia,large,2,0.109893447
Croatia,large,3,0.104721997
Croatia,large,4,0.108128882
Croatia,large,5,0.121194622
Croatia,large,6,0.146092177
Croatia,large,7,0.165822706
Croatia,large,8,0.165876179
Croatia,large,9,0.149530111
Croatia,large,10,0.132245307
Croatia,large,11,0.123228314
Croatia,large,12,0.117485724
Croatia,large,13,0.112036672
Croatia,large,14,0.114725349
Croatia,large,15,0.130839902
Croatia,large,16,0.148918998
Croatia,large,17,0.168977939
Croatia,large,18,0.188894911
Croatia,large,19,0.204775172
Croatia,large,20,0.194437896
Croatia,large,21,0.169942625
Croatia,large,22,0.153168737
Croatia,large,23,0.133973798
Croatia,medium,0,0.124373098
Croatia,medium,1,0.11406351
Croatia,medium,2,0.108139829
Croatia,medium,3,0.103050901
Croatia,medium,4,0.106403421
Croatia,medium,5,0.119260665
Croatia,medium,6,0.143760919
Croatia,medium,7,0.163176599
Croatia,medium,8,0.163229218
Croatia,medium,9,0.147143992
Croatia,medium,10,0.130135009
Croatia,medium,11,0.121261904
Croatia,medium,12,0.115610952
Croatia,medium,13,0.110248853
Croatia,medium,14,0.112894626
Croatia,medium,15,0.128752031
Croatia,medium,16,0.146542631
Croatia,medium,17,0.166281483
Croatia,medium,18,0.18588063
Croatia,medium,19,0.201507484
Croatia,medium,20,0.191335164
Croatia,medium,21,0.167230774
Croatia,medium,22,0.150724555
Croatia,medium,23,0.131835919
Croatia,small,0,0.13370108
Croatia,small,1,0.122618273
Croatia,small,2,0.116250316
Croatia,small,3,0.110779719
Croatia,small,4,0.114383678
Croatia,small,5,0.128205215
Croatia,small,6,0.154542988
Croatia,small,7,0.175414844
Croatia,small,8,0.17547141
Croatia,small,9,0.158179792
Croatia,small,10,0.139895135
Croatia,small,11,0.130356547
Croatia,small,12,0.124281773
Croatia,small,13,0.118517517
Croatia,small,14,0.121361723
Croatia,small,15,0.138408433
Croatia,small,16,0.157533329
Croatia,small,17,0.178752594
Croatia,small,18,0.199821677
Croatia,small,19,0.216620545
Croatia,small,20,0.205685301
Croatia,small,21,0.179773082
Croatia,small,22,0.162028896
Croatia,small,23,0.141723612
Cyprus,large,0,0.35195
Cyprus,large,1,0.35195
Cyprus,large,2,0.35195
Cyprus,large,3,0.35195
Cyprus,large,4,0.35195
Cyprus,large,5,0.35195
Cyprus,large,6,0.35195
Cyprus,large,7,0.35195
Cyprus,large,8,0.35195
Cyprus,large,9,0.35195
Cyprus,large,10,0.35195
Cyprus,large,11,0.35195
Cyprus,large,12,0.35195
Cyprus,large,13,0.35195
Cyprus,large,14,0.35195
Cyprus,large,15,0.35195
Cyprus,large,16,0.35195
Cyprus,large,17,0.35195
Cyprus,large,18,0.35195
Cyprus,large,19,0.35195
Cyprus,large,20,0.35195
Cyprus,large,21,0.35195
Cyprus,large,22,0.35195
Cyprus,large,23,0.35195
Cyprus,medium,0,0.35955
Cyprus,medium,1,0.35955
Cyprus,medium,2,0.35955
Cyprus,medium,3,0.35955
Cyprus,medium,4,0.35955
Cyprus,medium,5,0.35955
Cyprus,medium,6,0.35955
Cyprus,medium,7,0.35955
Cyprus,medium,8,0.35955
Cyprus,medium,9,0.35955
Cyprus,medium,10,0.35955
Cyprus,medium,11,0.35955
Cyprus,medium,12,0.35955
Cyprus,medium,13,0.35955
Cyprus,medium,14,0.35955
Cyprus,medium,15,0.35955
Cyprus,medium,16,0.35955
Cyprus,medium,17,0.35955
Cyprus,medium,18,0.35955
Cyprus,medium,19,0.35955
Cyprus,medium,20,0.35955
Cyprus,medium,21,0.35955
Cyprus,medium,22,0.35955
Cyprus,medium,23,0.35955
Cyprus,small,0,0.3772
Cyprus,small,1,0.3772
Cyprus,small,2,0.3772
Cyprus,small,3,0.3772
Cyprus,small,4,0.3772
Cyprus,small,5,0.3772
Cyprus,small,6,0.3772
Cyprus,small,7,0.3772
Cyprus,small,8,0.3772
Cyprus,small,9,0.3772
Cyprus,small,10,0.3772
Cyprus,small,11,0.3772
Cyprus,small,12,0.3772
Cyprus,small,13,0.3772
Cyprus,small,14,0.3772
Cyprus,small,15,0.3772
Cyprus,small,16,0.3772
Cyprus,small,17,0.3772
Cyprus,small,18,0.3772
Cyprus,small,19,0.3772
Cyprus,small,20,0.3772
Cyprus,small,21,0.3772
Cyprus,small,22,0.3772
Cyprus,small,23,0.3772
Czechia,large,0,0.227420139
Czechia,large,1,0.212169117
Czechia,large,2,0.202992177
Czechia,large,3,0.195750119
Czechia,large,4,0.200781225
Czechia,large,5,0.219615473
Czechia,large,6,0.265353075
Czechia,large,7,0.298626625
Czechia,large,8,0.298443468
Czechia,large,9,0.270178924
Czechia,large,10,0.239987229
Czechia,large,11,0.222806388
Czechia,large,12,0.210993272
Czechia,large,13,0.200107573
Czechia,large,14,0.205084012
Czechia,large,15,0.224189952
Czechia,large,16,0.2485627
Czechia,large,17,0.284699096
Czechia,large,18,0.323500266
Czechia,large,19,0.349452256
Czechia,large,20,0.330028442
Czechia,large,21,0.295453841
Czechia,large,22,0.273721716
Czechia,large,23,0.240834595
Czechia,medium,0,0.272912774
Czechia,medium,1,0.254610971
Czechia,medium,2,0.243598296
Czechia,medium,3,0.234907552
Czechia,medium,4,0.240945069
Czechia,medium,5,0.26354688
Czechia,medium,6,0.318433733
Czechia,medium,7,0.358363253
Czechia,medium,8,0.358143457
Czechia,medium,9,0.324224935
Czechia,medium,10,0.287993758
Czechia,medium,11,0.267376098
Czechia,medium,12,0.253199913
Czechia,medium,13,0.240136662
Czechia,medium,14,0.246108577
Czechia,medium,15,0.269036428
Czechia,medium,16,0.298284648
Czechia,medium,17,0.341649691
Czechia,medium,18,0.388212564
Czechia,medium,19,0.419355934
Czechia,medium,20,0.396046622
Czechia,medium,21,0.354555792
Czechia,medium,22,0.328476419
Czechia,medium,23,0.28901063
Czechia,small,0,0.318878843
Czechia,small,1,0.29749451
Czechia,small,2,0.284626994
Czechia,small,3,0.274472489
Czechia,small,4,0.281526891
Czechia,small,5,0.307935474
Czechia,small,6,0.372066792
Czechia,small,7,0.418721548
Czechia,small,8,0.418464733
Czechia,small,9,0.378833393
Czechia,small,10,0.336499882
Czechia,small,11,0.312409638
Czechia,small,12,0.29584579
Czechia,small,13,0.280582326
Czechia,small,14,0.287560077
Czechia,small,15,0.314349613
Czechia,small,16,0.348524043
Czechia,small,17,0.39919296
Czechia,small,18,0.45359831
Czechia,small,19,0.489987086
Czechia,small,20,0.462751841
Czechia,small,21,0.414272807
Czechia,small,22,0.383800945
Czechia,small,23,0.337688023
Denmark,large,0,0.278658007
Denmark,large,1,0.260861285
Denmark,large,2,0.252704227
Denmark,large,3,0.24520466
Denmark,large,4,0.247107
Denmark,large,5,0.265815575
Denmark,large,6,0.316427884
Denmark,large,7,0.364295157
Denmark,large,8,0.370292291
Denmark,large,9,0.33195137
Denmark,large,10,0.294914297
Denmark,large,11,0.267107701
Denmark,large,12,0.245026685
Denmark,large,13,0.225938911
Denmark,large,14,0.223963506
Denmark,large,15,0.242582703
Denmark,large,16,0.280724842
Denmark,large,17,0.341892282
Denmark,large,18,0.388015947
Denmark,large,19,0.417267247
Denmark,large,20,0.398819383
Denmark,large,21,0.360622542
Denmark,large,22,0.329119789
Denmark,large,23,0.293815287
Denmark,medium,0,0.325351335
Denmark,medium,1,0.304572506
Denmark,medium,2,0.29504861
Denmark,medium,3,0.286292378
Denmark,medium,4,0.288513484
Denmark,medium,5,0.310356961
Denmark,medium,6,0.369450121
Denmark,medium,7,0.425338274
Denmark,medium,8,0.432340317
Denmark,medium,9,0.3875748
Denmark,medium,10,0.344331611
Denmark,medium,11,0.311865602
Denmark,medium,12,0.28608458
Denmark,medium,13,0.263798364
Denmark,medium,14,0.26149195
Denmark,medium,15,0.283231073
Denmark,medium,16,0.3277645
Denmark,medium,17,0.399181461
Denmark,medium,18,0.453033838
Denmark,medium,19,0.487186632
Denmark,medium,20,0.465647552
Denmark,medium,21,0.421050257
Denmark,medium,22,0.384268746
Denmark,medium,23,0.343048444
Denmark,small,0,0.34841086
Denmark,small,1,0.326159315
Denmark,small,2,0.315960405
Denmark,small,3,0.306583569
Denmark,small,4,0.308962097
Denmark,small,5,0.332353748
Denmark,small,6,0.395635181
Denmark,small,7,0.455484449
Denmark,small,8,0.462982768
Denmark,small,9,0.41504446
Denmark,small,10,0.368736376
Denmark,small,11,0.333969315
Denmark,small,12,0.306361044
Denmark,small,13,0.282495275
Denmark,small,14,0.280025392
Denmark,small,15,0.303305291
Denmark,small,16,0.350995059
Denmark,small,17,0.427473752
Denmark,small,18,0.485142957
Denmark,small,19,0.521716357
Denmark,small,20,0.498650678
Denmark,small,21,0.450892516
Denmark,small,22,0.411504087
Denmark,small,23,0.367362265
Estonia,large,0,0.14691862
Estonia,large,1,0.15069964
Estonia,large,2,0.13564225
Estonia,large,3,0.126364384
Estonia,large,4,0.1250929
Estonia,large,5,0.13935735
Estonia,large,6,0.170593546
Estonia,large,7,0.217986892
Estonia,large,8,0.255053324
Estonia,large,9,0.253344599
Estonia,large,10,0.222775537
Estonia,large,11,0.201707429
Estonia,large,12,0.183516271
Estonia,large,13,0.178251922
Estonia,large,14,0.166639322
Estonia,large,15,0.170411111
Estonia,large,16,0.186462042
Estonia,large,17,0.208671095
Estonia,large,18,0.247388025
Estonia,large,19,0.270841579
Estonia,large,20,0.279954644
Estonia,large,21,0.25765535
Estonia,large,22,0.225182227
Estonia,large,23,0.185505011
Estonia,medium,0,0.159929076
Estonia,medium,1,0.164044926
Estonia,medium,2,0.147654122
Estonia,medium,3,0.137554649
Estonia,medium,4,0.136170568
Estonia,medium,5,0.151698214
Estonia,medium,6,0.185700548
Estonia,medium,7,0.237290836
Estonia,medium,8,0.277639706
Estonia,medium,9,0.275779664
Estonia,medium,10,0.242503542
Estonia,medium,11,0.219569737
Estonia,medium,12,0.199767652
Estonia,medium,13,0.194037115
Estonia,medium,14,0.181396156
Estonia,medium,15,0.185501957
Estonia,medium,16,0.202974286
Estonia,medium,17,0.227150074
Estonia,medium,18,0.269295602
Estonia,medium,19,0.294826098
Estonia,medium,20,0.304746175
Estonia,medium,21,0.280472155
Estonia,medium,22,0.245123358
Estonia,medium,23,0.201932505
Estonia,small,0,0.179089283
Estonia,small,1,0.18369823
Estonia,small,2,0.165343735
Estonia,small,3,0.154034302
Estonia,small,4,0.152484401
Estonia,small,5,0.169872327
Estonia,small,6,0.207948291
Estonia,small,7,0.265719323
Estonia,small,8,0.310902165
Estonia,small,9,0.308819281
Estonia,small,10,0.271556534
Estonia,small,11,0.245875158
Estonia,small,12,0.223700696
Estonia,small,13,0.217283616
Estonia,small,14,0.203128214
Estonia,small,15,0.207725908
Estonia,small,16,0.227291499
Estonia,small,17,0.254363653
Estonia,small,18,0.301558401
Estonia,small,19,0.330147562
Estonia,small,20,0.341256108
Estonia,small,21,0.314073954
Estonia,small,22,0.274490215
Estonia,small,23,0.226124908
Finland,large,0,0.116657854
Finland,large,1,0.119215465
Finland,large,2,0.109652991
Finland,large,3,0.105996802
Finland,large,4,0.105733231
Finland,large,5,0.114530326
Finland,large,6,0.140500877
Finland,large,7,0.190233467
Finland,large,8,0.235932289
Finland,large,9,0.26028437
Finland,large,10,0.241040172
Finland,large,11,0.229885612
Finland,large,12,0.216566919
Finland,large,13,0.20482913
Finland,large,14,0.190128021
Finland,large,15,0.18326381
Finland,large,16,0.190371062
Finland,large,17,0.200449147
Finland,large,18,0.221592071
Finland,large,19,0.232387399
Finland,large,20,0.214716067
Finland,large,21,0.183158888
Finland,large,22,0.1702176
Finland,large,23,0.143731089
Finland,medium,0,0.148212847
Finland,medium,1,0.151462271
Finland,medium,2,0.139313226
Finland,medium,3,0.134668068
Finland,medium,4,0.134333203
Finland,medium,5,0.145509841
Finland,medium,6,0.178505213
Finland,medium,7,0.24169006
Finland,medium,8,0.299750039
Finland,medium,9,0.330689159
Finland,medium,10,0.306239563
Finland,medium,11,0.292067786
Finland,medium,12,0.275146496
Finland,medium,13,0.260233731
Finland,medium,14,0.241556092
Finland,medium,15,0.232835169
Finland,medium,16,0.241864874
Finland,medium,17,0.254668998
Finland,medium,18,0.28153091
Finland,medium,19,0.295246286
Finland,medium,20,0.272795003
Finland,medium,21,0.232701867
Finland,medium,22,0.216260065
Finland,medium,23,0.18260917
Finland,small,0,0.189180552
Finland,small,1,0.193328153
Finland,small,2,0.177820975
Finland,small,3,0.171891843
Finland,small,4,0.171464417
Finland,small,5,0.185730403
Finland,small,6,0.227846069
Finland,small,7,0.308495921
Finland,small,8,0.382604334
Finland,small,9,0.422095376
Finland,small,10,0.390887636
Finland,small,11,0.37279862
Finland,small,12,0.351200094
Finland,small,13,0.332165272
Finland,small,14,0.308324923
Finland,small,15,0.297193438
Finland,small,16,0.308719055
Finland,small,17,0.325062385
Finland,small,18,0.359349233
Finland,small,19,0.376855692
Finland,small,20,0.348198622
Finland,small,21,0.29702329
Finland,small,22,0.276036789
Finland,small,23,0.233084406
France,large,0,0.203511946
France,large,1,0.186207117
France,large,2,0.178255856
France,large,3,0.163812105
France,large,4,0.158131555
France,large,5,0.172615543
France,large,6,0.203816907
France,large,7,0.24045062
France,large,8,0.256187378
France,large,9,0.239546199
France,large,10,0.213523399
France,large,11,0.196619043
France,large,12,0.1837751
France,large,13,0.16802705
France,large,14,0.166335414
France,large,15,0.171947792
France,large,16,0.187750701
France,large,17,0.223276489
France,large,18,0.261114175
France,large,19,0.284038217
France,large,20,0.274054877
France,large,21,0.252131897
France,large,22,0.240406519
France,large,23,0.217630708
France,medium,0,0.225147462
France,medium,1,0.206002943
France,medium,2,0.197206377
France,medium,3,0.181227099
France,medium,4,0.174942645
France,medium,5,0.190966438
France,medium,6,0.225484843
France,medium,7,0.266013115
France,medium,8,0.28342286
France,medium,9,0.265012545
France,medium,10,0.23622324
France,medium,11,0.217521768
France,medium,12,0.203312376
France,medium,13,0.185890138
France,medium,14,0.184018663
France,medium,15,0.190227698
France,medium,16,0.207710626
France,medium,17,0.247013188
France,medium,18,0.288873429
France,medium,19,0.314234544
France,medium,20,0.303189867
France,medium,21,0.278936238
France,medium,22,0.265964326
France,medium,23,0.2407672
France,small,0,0.268786757
France,small,1,0.245931544
France,small,2,0.235429981
France,small,3,0.216353513
France,small,4,0.208850972
France,small,5,0.227980583
France,small,6,0.269189531
France,small,7,0.317573212
France,small,8,0.338357408
France,small,9,0.316378706
France,small,10,0.282009303
France,small,11,0.259683011
France,small,12,0.242719478
France,small,13,0.221920368
France,small,14,0.219686153
France,small,15,0.227098656
France,small,16,0.24797022
France,small,17,0.294890617
France,small,18,0.344864435
France,small,19,0.375141179
France,small,20,0.361955763
France,small,21,0.333001164
France,small,22,0.317514967
France,small,23,0.287433997
Germany,large,0,0.333781307
Germany,large,1,0.311376458
Germany,large,2,0.298663031
Germany,large,3,0.289334697
Germany,large,4,0.292792825
Germany,large,5,0.31945355
Germany,large,6,0.386331797
Germany,large,7,0.442248125
Germany,large,8,0.441938192
Germany,large,9,0.399858562
Germany,large,10,0.353595464
Germany,large,11,0.321498145
Germany,large,12,0.290608645
Germany,large,13,0.266666687
Germany,large,14,0.265010711
Germany,large,15,0.291881337
Germany,large,16,0.338400167
Germany,large,17,0.408157798
Germany,large,18,0.469359101
Germany,large,19,0.509402194
Germany,large,20,0.487792058
Germany,large,21,0.438480064
Germany,large,22,0.403909874
Germany,large,23,0.357052964
Germany,medium,0,0.35691857
Germany,medium,1,0.332960647
Germany,medium,2,0.319365943
Germany,medium,3,0.309390981
Germany,medium,4,0.313088822
Germany,medium,5,0.341597633
Germany,medium,6,0.413111788
Germany,medium,7,0.472904159
Germany,medium,8,0.472572742
Germany,medium,9,0.42757621
Germany,medium,10,0.378106217
Germany,medium,11,0.343783956
Germany,medium,12,0.310753238
Germany,medium,13,0.285151656
Germany,medium,14,0.283380891
Germany,medium,15,0.312114152
Germany,medium,16,0.361857603
Germany,medium,17,0.436450737
Germany,medium,18,0.501894431
Germany,medium,19,0.544713255
Germany,medium,20,0.521605135
Germany,medium,21,0.468874901
Germany,medium,22,0.431908353
Germany,medium,23,0.381803386
Germany,small,0,0.394122237
Germany,small,1,0.367667042
Germany,small,2,0.352655285
Germany,small,3,0.341640575
Germany,small,4,0.345723863
Germany,small,5,0.37720431
Germany,small,6,0.456172795
Germany,small,7,0.522197668
Germany,small,8,0.521831706
Germany,small,9,0.472144927
Germany,small,10,0.417518393
Germany,small,11,0.379618527
Germany,small,12,0.343144828
Germany,small,13,0.314874647
Germany,small,14,0.312919304
Germany,small,15,0.344647597
Germany,small,16,0.399576093
Germany,small,17,0.481944497
Germany,small,18,0.554209762
Germany,small,19,0.601491838
Germany,small,20,0.575975025
Germany,small,21,0.517748418
Germany,small,22,0.476928634
Germany,small,23,0.42160094
Greece,large,0,0.230665879
Greece,large,1,0.222235875
Greece,large,2,0.214251959
Greece,large,3,0.202451669
Greece,large,4,0.193918057
Greece,large,5,0.202770582
Greece,large,6,0.224375902
Greece,large,7,0.253185475
Greece,large,8,0.269325389
Greece,large,9,0.252590383
Greece,large,10,0.220211346
Greece,large,11,0.197162363
Greece,large,12,0.183551385
Greece,large,13,0.175725704
Greece,large,14,0.170414569
Greece,large,15,0.188178211
Greece,large,16,0.224203332
Greece,large,17,0.25653518
Greece,large,18,0.285055597
Greece,large,19,0.308562669
Greece,large,20,0.339053529
Greece,large,21,0.322561361
Greece,large,22,0.278283531
Greece,large,23,0.250994838
Greece,medium,0,0.221034934
Greece,medium,1,0.212956907
Greece,medium,2,0.205306341
Greece,medium,3,0.193998747
Greece,medium,4,0.185821437
Greece,medium,5,0.194304345
Greece,medium,6,0.215007582
Greece,medium,7,0.242614275
Greece,medium,8,0.258080302
Greece,medium,9,0.24204403
Greece,medium,10,0.211016908
Greece,medium,11,0.188930284
Greece,medium,12,0.175887603
Greece,medium,13,0.168388666
Greece,medium,14,0.163299286
Greece,medium,15,0.180321246
Greece,medium,16,0.214842217
Greece,medium,17,0.245824121
Greece,medium,18,0.27315373
Greece,medium,19,0.295679317
Greece,medium,20,0.324897098
Greece,medium,21,0.309093524
Greece,medium,22,0.266664417
Greece,medium,23,0.240515103
Greece,small,0,0.237102401
Greece,small,1,0.228437165
Greece,small,2,0.220230465
Greece,small,3,0.208100899
Greece,small,4,0.199329165
Greece,small,5,0.208428711
Greece,small,6,0.230636908
Greece,small,7,0.260250386
Greece,small,8,0.27684067
Greece,small,9,0.259638689
Greece,small,10,0.226356144
Greece,small,11,0.202664
Greece,small,12,0.18867322
Greece,small,13,0.180629171
Greece,small,14,0.175169833
Greece,small,15,0.193429153
Greece,small,16,0.230459522
Greece,small,17,0.263693562
Greece,small,18,0.293009815
Greece,small,19,0.31717283
Greece,small,20,0.34851451
Greece,small,21,0.331562143
Greece,small,22,0.28604878
Greece,small,23,0.257998621
Hungary,large,0,0.119417043
Hungary,large,1,0.109771598
Hungary,large,2,0.104648298
Hungary,large,3,0.100686294
Hungary,large,4,0.103333103
Hungary,large,5,0.114811349
Hungary,large,6,0.139129764
Hungary,large,7,0.157360262
Hungary,large,8,0.155610213
Hungary,large,9,0.140386766
Hungary,large,10,0.124570028
Hungary,large,11,0.11616482
Hungary,large,12,0.110467142
Hungary,large,13,0.105726807
Hungary,large,14,0.107544194
Hungary,large,15,0.123688994
Hungary,large,16,0.143134373
Hungary,large,17,0.162394609
Hungary,large,18,0.180934915
Hungary,large,19,0.199055435
Hungary,large,20,0.188259155
Hungary,large,21,0.162508951
Hungary,large,22,0.144858616
Hungary,large,23,0.126845684
Hungary,medium,0,0.0955086
Hungary,medium,1,0.087794265
Hungary,medium,2,0.0836967
Hungary,medium,3,0.080527927
Hungary,medium,4,0.082644819
Hungary,medium,5,0.09182501
Hungary,medium,6,0.111274643
Hungary,medium,7,0.12585522
Hungary,medium,8,0.124455547
Hungary,medium,9,0.112279982
Hungary,medium,10,0.099629907
Hungary,medium,11,0.092907503
Hungary,medium,12,0.088350555
Hungary,medium,13,0.084559281
Hungary,medium,14,0.086012809
Hungary,medium,15,0.098925265
Hungary,medium,16,0.114477491
Hungary,medium,17,0.129881642
Hungary,medium,18,0.14471
Hungary,medium,19,0.159202617
Hungary,medium,20,0.150567857
Hungary,medium,21,0.129973092
Hungary,medium,22,0.115856524
Hungary,medium,23,0.101449955
Hungary,small,0,0.080529313
Hungary,small,1,0.074024872
Hungary,small,2,0.070569956
Hungary,small,3,0.067898165
Hungary,small,4,0.06968305
Hungary,small,5,0.077423446
Hungary,small,6,0.093822657
Hungary,small,7,0.106116459
Hungary,small,8,0.104936307
Hungary,small,9,0.094670321
Hungary,small,10,0.084004247
Hungary,small,11,0.078336164
Hungary,small,12,0.074493915
Hungary,small,13,0.071297253
Hungary,small,14,0.072522814
Hungary,small,15,0.083410118
