Share of battery owners participating in peak pricing,,
%,,
Assumption,,
country,timeline,Value
Czechia,2017,0
Czechia,2018,0
Czechia,2019,0
Czechia,2020,0
Czechia,2021,0
Czechia,2022,0
Czechia,2023,0
Czechia,2024,0
Czechia,2025,0
Czechia,2026,10
Czechia,2027,13.75
Czechia,2028,17.5
Czechia,2029,21.25
Czechia,2030,25
Czechia,2031,28.75
Czechia,2032,32.5
Czechia,2033,36.25
Czechia,2034,40
Czechia,2035,43.75
Czechia,2036,47.5
Czechia,2037,51.25
Czechia,2038,55
Czechia,2039,58.75
Czechia,2040,62.5
Czechia,2041,66.25
Czechia,2042,70
Czechia,2043,73.75
Czechia,2044,77.5
Czechia,2045,81.25
Czechia,2046,85
Czechia,2047,88.75
Czechia,2048,92.5
Czechia,2049,96.25
Czechia,2050,100
Germany,2010,0
Germany,2011,0
Germany,2012,0
Germany,2013,0
Germany,2014,0
Germany,2015,0
Germany,2016,0
Germany,2017,0
Germany,2018,0
Germany,2019,0
Germany,2020,0
Germany,2021,0
Germany,2022,0
Germany,2023,0
Germany,2024,0
Germany,2025,0
Germany,2026,10
Germany,2027,13.75
Germany,2028,17.5
Germany,2029,21.25
Germany,2030,25
Germany,2031,28.75
Germany,2032,32.5
Germany,2033,36.25
Germany,2034,40
Germany,2035,43.75
Germany,2036,47.5
Germany,2037,51.25
Germany,2038,55
Germany,2039,58.75
Germany,2040,62.5
Germany,2041,66.25
Germany,2042,70
Germany,2043,73.75
Germany,2044,77.5
Germany,2045,81.25
Germany,2046,85
Germany,2047,88.75
Germany,2048,92.5
Germany,2049,96.25
Germany,2050,100
Denmark,2010,0
Denmark,2011,0
Denmark,2012,0
Denmark,2013,0
Denmark,2014,0
Denmark,2015,0
Denmark,2016,0
Denmark,2017,0
Denmark,2018,0
Denmark,2019,0
Denmark,2020,0
Denmark,2021,0
Denmark,2022,0
Denmark,2023,0
Denmark,2024,0
Denmark,2025,0
Denmark,2026,10
Denmark,2027,13.75
Denmark,2028,17.5
Denmark,2029,21.25
Denmark,2030,25
Denmark,2031,28.75
Denmark,2032,32.5
Denmark,2033,36.25
Denmark,2034,40
Denmark,2035,43.75
Denmark,2036,47.5
Denmark,2037,51.25
Denmark,2038,55
Denmark,2039,58.75
Denmark,2040,62.5
Denmark,2041,66.25
Denmark,2042,70
Denmark,2043,73.75
Denmark,2044,77.5
Denmark,2045,81.25
Denmark,2046,85
Denmark,2047,88.75
Denmark,2048,92.5
Denmark,2049,96.25
Denmark,2050,100
Greece,2010,0
Greece,2011,0
Greece,2012,0
Greece,2013,0
Greece,2014,0
Greece,2015,0
Greece,2016,0
Greece,2017,0
Greece,2018,0
Greece,2019,0
Greece,2020,0
Greece,2021,0
Greece,2022,0
Greece,2023,0
Greece,2024,0
Greece,2025,0
Greece,2026,10
Greece,2027,13.75
Greece,2028,17.5
Greece,2029,21.25
Greece,2030,25
Greece,2031,28.75
Greece,2032,32.5
Greece,2033,36.25
Greece,2034,40
Greece,2035,43.75
Greece,2036,47.5
Greece,2037,51.25
Greece,2038,55
Greece,2039,58.75
Greece,2040,62.5
Greece,2041,66.25
Greece,2042,70
Greece,2043,73.75
Greece,2044,77.5
Greece,2045,81.25
Greece,2046,85
Greece,2047,88.75
Greece,2048,92.5
Greece,2049,96.25
Greece,2050,100
Estonia,2010,0
Estonia,2011,0
Estonia,2012,0
Estonia,2013,0
Estonia,2014,0
Estonia,2015,0
Estonia,2016,0
Estonia,2017,0
Estonia,2018,0
Estonia,2019,0
Estonia,2020,0
Estonia,2021,0
Estonia,2022,0
Estonia,2023,0
Estonia,2024,0
Estonia,2025,0
Estonia,2026,10
Estonia,2027,13.75
Estonia,2028,17.5
Estonia,2029,21.25
Estonia,2030,25
Estonia,2031,28.75
Estonia,2032,32.5
Estonia,2033,36.25
Estonia,2034,40
Estonia,2035,43.75
Estonia,2036,47.5
Estonia,2037,51.25
Estonia,2038,55
Estonia,2039,58.75
Estonia,2040,62.5
Estonia,2041,66.25
Estonia,2042,70
Estonia,2043,73.75
Estonia,2044,77.5
Estonia,2045,81.25
Estonia,2046,85
Estonia,2047,88.75
Estonia,2048,92.5
Estonia,2049,96.25
Estonia,2050,100
Spain,2010,0
Spain,2011,0
Spain,2012,0
Spain,2013,0
Spain,2014,0
Spain,2015,0
Spain,2016,0
Spain,2017,0
Spain,2018,0
Spain,2019,0
Spain,2020,0
Spain,2021,0
Spain,2022,0
Spain,2023,0
Spain,2024,0
Spain,2025,0
Spain,2026,10
Spain,2027,13.75
Spain,2028,17.5
Spain,2029,21.25
Spain,2030,25
Spain,2031,28.75
Spain,2032,32.5
Spain,2033,36.25
Spain,2034,40
Spain,2035,43.75
Spain,2036,47.5
Spain,2037,51.25
Spain,2038,55
Spain,2039,58.75
Spain,2040,62.5
Spain,2041,66.25
Spain,2042,70
Spain,2043,73.75
Spain,2044,77.5
Spain,2045,81.25
Spain,2046,85
Spain,2047,88.75
Spain,2048,92.5
Spain,2049,96.25
Spain,2050,100
Finland,2010,0
Finland,2011,0
Finland,2012,0
Finland,2013,0
Finland,2014,0
Finland,2015,0
Finland,2016,0
Finland,2017,0
Finland,2018,0
Finland,2019,0
Finland,2020,0
Finland,2021,0
Finland,2022,0
Finland,2023,0
Finland,2024,0
Finland,2025,0
Finland,2026,10
Finland,2027,13.75
Finland,2028,17.5
Finland,2029,21.25
Finland,2030,25
Finland,2031,28.75
Finland,2032,32.5
Finland,2033,36.25
Finland,2034,40
Finland,2035,43.75
Finland,2036,47.5
Finland,2037,51.25
Finland,2038,55
Finland,2039,58.75
Finland,2040,62.5
Finland,2041,66.25
Finland,2042,70
Finland,2043,73.75
Finland,2044,77.5
Finland,2045,81.25
Finland,2046,85
Finland,2047,88.75
Finland,2048,92.5
Finland,2049,96.25
Finland,2050,100
France,2010,0
France,2011,0
France,2012,0
France,2013,0
France,2014,0
France,2015,0
France,2016,0
France,2017,0
France,2018,0
France,2019,0
France,2020,0
France,2021,0
France,2022,0
France,2023,0
France,2024,0
France,2025,0
France,2026,10
France,2027,13.75
France,2028,17.5
France,2029,21.25
France,2030,25
France,2031,28.75
France,2032,32.5
France,2033,36.25
France,2034,40
France,2035,43.75
France,2036,47.5
France,2037,51.25
France,2038,55
France,2039,58.75
France,2040,62.5
France,2041,66.25
France,2042,70
France,2043,73.75
France,2044,77.5
France,2045,81.25
France,2046,85
France,2047,88.75
France,2048,92.5
France,2049,96.25
France,2050,100
Croatia,2010,0
Croatia,2011,0
Croatia,2012,0
Croatia,2013,0
Croatia,2014,0
Croatia,2015,0
Croatia,2016,0
Croatia,2017,0
Croatia,2018,0
Croatia,2019,0
Croatia,2020,0
Croatia,2021,0
Croatia,2022,0
Croatia,2023,0
Croatia,2024,0
Croatia,2025,0
Croatia,2026,10
Croatia,2027,13.75
Croatia,2028,17.5
Croatia,2029,21.25
Croatia,2030,25
Croatia,2031,28.75
Croatia,2032,32.5
Croatia,2033,36.25
Croatia,2034,40
Croatia,2035,43.75
Croatia,2036,47.5
Croatia,2037,51.25
Croatia,2038,55
Croatia,2039,58.75
Croatia,2040,62.5
Croatia,2041,66.25
Croatia,2042,70
Croatia,2043,73.75
Croatia,2044,77.5
Croatia,2045,81.25
Croatia,2046,85
Croatia,2047,88.75
Croatia,2048,92.5
Croatia,2049,96.25
Croatia,2050,100
Hungary,2010,0
Hungary,2011,0
Hungary,2012,0
Hungary,2013,0
Hungary,2014,0
Hungary,2015,0
Hungary,2016,0
Hungary,2017,0
Hungary,2018,0
Hungary,2019,0
Hungary,2020,0
Hungary,2021,0
Hungary,2022,0
Hungary,2023,0
Hungary,2024,0
Hungary,2025,0
Hungary,2026,10
Hungary,2027,13.75
Hungary,2028,17.5
Hungary,2029,21.25
Hungary,2030,25
Hungary,2031,28.75
Hungary,2032,32.5
Hungary,2033,36.25
Hungary,2034,40
Hungary,2035,43.75
Hungary,2036,47.5
Hungary,2037,51.25
Hungary,2038,55
Hungary,2039,58.75
Hungary,2040,62.5
Hungary,2041,66.25
Hungary,2042,70
Hungary,2043,73.75
Hungary,2044,77.5
Hungary,2045,81.25
Hungary,2046,85
Hungary,2047,88.75
Hungary,2048,92.5
Hungary,2049,96.25
Hungary,2050,100
Ireland,2010,0
Ireland,2011,0
Ireland,2012,0
Ireland,2013,0
Ireland,2014,0
Ireland,2015,0
Ireland,2016,0
Ireland,2017,0
Ireland,2018,0
Ireland,2019,0
Ireland,2020,0
Ireland,2021,0
Ireland,2022,0
Ireland,2023,0
Ireland,2024,0
Ireland,2025,0
Ireland,2026,10
Ireland,2027,13.75
Ireland,2028,17.5
Ireland,2029,21.25
Ireland,2030,25
Ireland,2031,28.75
Ireland,2032,32.5
Ireland,2033,36.25
Ireland,2034,40
Ireland,2035,43.75
Ireland,2036,47.5
Ireland,2037,51.25
Ireland,2038,55
Ireland,2039,58.75
Ireland,2040,62.5
Ireland,2041,66.25
Ireland,2042,70
Ireland,2043,73.75
Ireland,2044,77.5
Ireland,2045,81.25
Ireland,2046,85
Ireland,2047,88.75
Ireland,2048,92.5
Ireland,2049,96.25
Ireland,2050,100
Italy,2010,0
Italy,2011,0
Italy,2012,0
Italy,2013,0
Italy,2014,0
Italy,2015,0
Italy,2016,0
Italy,2017,0
Italy,2018,0
Italy,2019,0
Italy,2020,0
Italy,2021,0
Italy,2022,0
Italy,2023,0
Italy,2024,0
Italy,2025,0
Italy,2026,10
Italy,2027,13.75
Italy,2028,17.5
Italy,2029,21.25
Italy,2030,25
Italy,2031,28.75
Italy,2032,32.5
Italy,2033,36.25
Italy,2034,40
Italy,2035,43.75
Italy,2036,47.5
Italy,2037,51.25
Italy,2038,55
Italy,2039,58.75
Italy,2040,62.5
Italy,2041,66.25
Italy,2042,70
Italy,2043,73.75
Italy,2044,77.5
Italy,2045,81.25
Italy,2046,85
Italy,2047,88.75
Italy,2048,92.5
Italy,2049,96.25
Italy,2050,100
Lithuania,2010,0
Lithuania,2011,0
Lithuania,2012,0
Lithuania,2013,0
Lithuania,2014,0
Lithuania,2015,0
Lithuania,2016,0
Lithuania,2017,0
Lithuania,2018,0
Lithuania,2019,0
Lithuania,2020,0
Lithuania,2021,0
Lithuania,2022,0
Lithuania,2023,0
Lithuania,2024,0
Lithuania,2025,0
Lithuania,2026,10
Lithuania,2027,13.75
Lithuania,2028,17.5
Lithuania,2029,21.25
Lithuania,2030,25
Lithuania,2031,28.75
Lithuania,2032,32.5
Lithuania,2033,36.25
Lithuania,2034,40
Lithuania,2035,43.75
Lithuania,2036,47.5
Lithuania,2037,51.25
Lithuania,2038,55
Lithuania,2039,58.75
Lithuania,2040,62.5
Lithuania,2041,66.25
Lithuania,2042,70
Lithuania,2043,73.75
Lithuania,2044,77.5
Lithuania,2045,81.25
Lithuania,2046,85
Lithuania,2047,88.75
Lithuania,2048,92.5
Lithuania,2049,96.25
Lithuania,2050,100
Latvia,2010,0
Latvia,2011,0
Latvia,2012,0
Latvia,2013,0
Latvia,2014,0
Latvia,2015,0
Latvia,2016,0
Latvia,2017,0
Latvia,2018,0
Latvia,2019,0
Latvia,2020,0
Latvia,2021,0
Latvia,2022,0
Latvia,2023,0
Latvia,2024,0
Latvia,2025,0
Latvia,2026,10
Latvia,2027,13.75
Latvia,2028,17.5
Latvia,2029,21.25
Latvia,2030,25
Latvia,2031,28.75
Latvia,2032,32.5
Latvia,2033,36.25
Latvia,2034,40
Latvia,2035,43.75
Latvia,2036,47.5
Latvia,2037,51.25
Latvia,2038,55
Latvia,2039,58.75
Latvia,2040,62.5
Latvia,2041,66.25
Latvia,2042,70
Latvia,2043,73.75
Latvia,2044,77.5
Latvia,2045,81.25
Latvia,2046,85
Latvia,2047,88.75
Latvia,2048,92.5
Latvia,2049,96.25
Latvia,2050,100
Luxembourg,2010,0
Luxembourg,2011,0
Luxembourg,2012,0
Luxembourg,2013,0
Luxembourg,2014,0
Luxembourg,2015,0
Luxembourg,2016,0
Luxembourg,2017,0
Luxembourg,2018,0
Luxembourg,2019,0
Luxembourg,2020,0
Luxembourg,2021,0
Luxembourg,2022,0
Luxembourg,2023,0
Luxembourg,2024,0
Luxembourg,2025,0
Luxembourg,2026,10
Luxembourg,2027,13.75
Luxembourg,2028,17.5
Luxembourg,2029,21.25
Luxembourg,2030,25
Luxembourg,2031,28.75
Luxembourg,2032,32.5
Luxembourg,2033,36.25
Luxembourg,2034,40
Luxembourg,2035,43.75
Luxembourg,2036,47.5
Luxembourg,2037,51.25
Luxembourg,2038,55
Luxembourg,2039,58.75
Luxembourg,2040,62.5
Luxembourg,2041,66.25
Luxembourg,2042,70
Luxembourg,2043,73.75
Luxembourg,2044,77.5
Luxembourg,2045,81.25
Luxembourg,2046,85
Luxembourg,2047,88.75
Luxembourg,2048,92.5
Luxembourg,2049,96.25
Luxembourg,2050,100
Malta,2010,0
Malta,2011,0
Malta,2012,0
Malta,2013,0
Malta,2014,0
Malta,2015,0
Malta,2016,0
Malta,2017,0
Malta,2018,0
Malta,2019,0
Malta,2020,0
Malta,2021,0
Malta,2022,0
Malta,2023,0
Malta,2024,0
Malta,2025,0
Malta,2026,10
Malta,2027,13.75
Malta,2028,17.5
Malta,2029,21.25
Malta,2030,25
Malta,2031,28.75
Malta,2032,32.5
Malta,2033,36.25
Malta,2034,40
Malta,2035,43.75
Malta,2036,47.5
Malta,2037,51.25
Malta,2038,55
Malta,2039,58.75
Malta,2040,62.5
Malta,2041,66.25
Malta,2042,70
Malta,2043,73.75
Malta,2044,77.5
Malta,2045,81.25
Malta,2046,85
Malta,2047,88.75
Malta,2048,92.5
Malta,2049,96.25
Malta,2050,100
Netherlands,2010,0
Netherlands,2011,0
Netherlands,2012,0
Netherlands,2013,0
Netherlands,2014,0
Netherlands,2015,0
Netherlands,2016,0
Netherlands,2017,0
Netherlands,2018,0
Netherlands,2019,0
Netherlands,2020,0
Netherlands,2021,0
Netherlands,2022,0
Netherlands,2023,0
Netherlands,2024,0
Netherlands,2025,0
Netherlands,2026,10
Netherlands,2027,13.75
Netherlands,2028,17.5
Netherlands,2029,21.25
Netherlands,2030,25
Netherlands,2031,28.75
Netherlands,2032,32.5
Netherlands,2033,36.25
Netherlands,2034,40
Netherlands,2035,43.75
Netherlands,2036,47.5
Netherlands,2037,51.25
Netherlands,2038,55
Netherlands,2039,58.75
Netherlands,2040,62.5
Netherlands,2041,66.25
Netherlands,2042,70
Netherlands,2043,73.75
Netherlands,2044,77.5
Netherlands,2045,81.25
Netherlands,2046,85
Netherlands,2047,88.75
Netherlands,2048,92.5
Netherlands,2049,96.25
Netherlands,2050,100
Poland,2010,0
Poland,2011,0
Poland,2012,0
Poland,2013,0
Poland,2014,0
Poland,2015,0
Poland,2016,0
Poland,2017,0
Poland,2018,0
Poland,2019,0
Poland,2020,0
Poland,2021,0
Poland,2022,0
Poland,2023,0
Poland,2024,0
Poland,2025,0
Poland,2026,10
Poland,2027,13.75
Poland,2028,17.5
Poland,2029,21.25
Poland,2030,25
Poland,2031,28.75
Poland,2032,32.5
Poland,2033,36.25
Poland,2034,40
Poland,2035,43.75
Poland,2036,47.5
Poland,2037,51.25
Poland,2038,55
Poland,2039,58.75
Poland,2040,62.5
Poland,2041,66.25
Poland,2042,70
Poland,2043,73.75
Poland,2044,77.5
Poland,2045,81.25
Poland,2046,85
Poland,2047,88.75
Poland,2048,92.5
Poland,2049,96.25
Poland,2050,100
Portugal,2010,0
Portugal,2011,0
Portugal,2012,0
Portugal,2013,0
Portugal,2014,0
Portugal,2015,0
Portugal,2016,0
Portugal,2017,0
Portugal,2018,0
Portugal,2019,0
Portugal,2020,0
Portugal,2021,0
Portugal,2022,0
Portugal,2023,0
Portugal,2024,0
Portugal,2025,0
Portugal,2026,10
Portugal,2027,13.75
Portugal,2028,17.5
Portugal,2029,21.25
Portugal,2030,25
Portugal,2031,28.75
Portugal,2032,32.5
Portugal,2033,36.25
Portugal,2034,40
Portugal,2035,43.75
Portugal,2036,47.5
Portugal,2037,51.25
Portugal,2038,55
Portugal,2039,58.75
Portugal,2040,62.5
Portugal,2041,66.25
Portugal,2042,70
Portugal,2043,73.75
Portugal,2044,77.5
Portugal,2045,81.25
Portugal,2046,85
Portugal,2047,88.75
Portugal,2048,92.5
Portugal,2049,96.25
Portugal,2050,100
Romania,2010,0
Romania,2011,0
Romania,2012,0
Romania,2013,0
Romania,2014,0
Romania,2015,0
Romania,2016,0
Romania,2017,0
Romania,2018,0
Romania,2019,0
Romania,2020,0
Romania,2021,0
Romania,2022,0
Romania,2023,0
Romania,2024,0
Romania,2025,0
Romania,2026,10
Romania,2027,13.75
Romania,2028,17.5
Romania,2029,21.25
Romania,2030,25
Romania,2031,28.75
Romania,2032,32.5
Romania,2033,36.25
Romania,2034,40
Romania,2035,43.75
Romania,2036,47.5
Romania,2037,51.25
Romania,2038,55
Romania,2039,58.75
Romania,2040,62.5
Romania,2041,66.25
Romania,2042,70
Romania,2043,73.75
Romania,2044,77.5
Romania,2045,81.25
Romania,2046,85
Romania,2047,88.75
Romania,2048,92.5
Romania,2049,96.25
Romania,2050,100
Slovenia,2010,0
Slovenia,2011,0
Slovenia,2012,0
Slovenia,2013,0
Slovenia,2014,0
Slovenia,2015,0
Slovenia,2016,0
Slovenia,2017,0
Slovenia,2018,0
Slovenia,2019,0
Slovenia,2020,0
Slovenia,2021,0
Slovenia,2022,0
Slovenia,2023,0
Slovenia,2024,0
Slovenia,2025,0
Slovenia,2026,10
Slovenia,2027,13.75
Slovenia,2028,17.5
Slovenia,2029,21.25
Slovenia,2030,25
Slovenia,2031,28.75
Slovenia,2032,32.5
Slovenia,2033,36.25
Slovenia,2034,40
Slovenia,2035,43.75
Slovenia,2036,47.5
Slovenia,2037,51.25
Slovenia,2038,55
Slovenia,2039,58.75
Slovenia,2040,62.5
Slovenia,2041,66.25
Slovenia,2042,70
Slovenia,2043,73.75
Slovenia,2044,77.5
Slovenia,2045,81.25
Slovenia,2046,85
Slovenia,2047,88.75
Slovenia,2048,92.5
Slovenia,2049,96.25
Slovenia,2050,100
Slovakia,2010,0
Slovakia,2011,0
Slovakia,2012,0
Slovakia,2013,0
Slovakia,2014,0
Slovakia,2015,0
Slovakia,2016,0
Slovakia,2017,0
Slovakia,2018,0
Slovakia,2019,0
Slovakia,2020,0
Slovakia,2021,0
Slovakia,2022,0
Slovakia,2023,0
Slovakia,2024,0
Slovakia,2025,0
Slovakia,2026,10
Slovakia,2027,13.75
Slovakia,2028,17.5
Slovakia,2029,21.25
Slovakia,2030,25
Slovakia,2031,28.75
Slovakia,2032,32.5
Slovakia,2033,36.25
Slovakia,2034,40
Slovakia,2035,43.75
Slovakia,2036,47.5
Slovakia,2037,51.25
Slovakia,2038,55
Slovakia,2039,58.75
Slovakia,2040,62.5
Slovakia,2041,66.25
Slovakia,2042,70
Slovakia,2043,73.75
Slovakia,2044,77.5
Slovakia,2045,81.25
Slovakia,2046,85
Slovakia,2047,88.75
Slovakia,2048,92.5
Slovakia,2049,96.25
Slovakia,2050,100
Sweden,2010,0
Sweden,2011,0
Sweden,2012,0
Sweden,2013,0
Sweden,2014,0
Sweden,2015,0
Sweden,2016,0
Sweden,2017,0
Sweden,2018,0
Sweden,2019,0
Sweden,2020,0
Sweden,2021,0
Sweden,2022,0
Sweden,2023,0
Sweden,2024,0
Sweden,2025,0
Sweden,2026,10
Sweden,2027,13.75
Sweden,2028,17.5
Sweden,2029,21.25
Sweden,2030,25
Sweden,2031,28.75
Sweden,2032,32.5
Sweden,2033,36.25
Sweden,2034,40
Sweden,2035,43.75
Sweden,2036,47.5
Sweden,2037,51.25
Sweden,2038,55
Sweden,2039,58.75
Sweden,2040,62.5
Sweden,2041,66.25
Sweden,2042,70
Sweden,2043,73.75
Sweden,2044,77.5
Sweden,2045,81.25
Sweden,2046,85
Sweden,2047,88.75
Sweden,2048,92.5
Sweden,2049,96.25
Sweden,2050,100
